Package,Module,Class,Smell,Function/Method,Line no,File,Details
JayYip_bert-multitask-learning,setup,,Long statement,,22,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/setup.py,A line with 576 chars in setup exceeds the maximum length of 120 characters.
JayYip_bert-multitask-learning.m3tl,_nbdev,,Long statement,,195,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/_nbdev.py,A line with 844 chars in _nbdev exceeds the maximum length of 120 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Complex method,prepare_dir,291 - 436,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,"Method 'prepare_dir' has a cyclomatic complexity of 12, exceeding the max of 6."
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Complex method,register_problem_type,487 - 524,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,"Method 'register_problem_type' has a cyclomatic complexity of 10, exceeding the max of 6."
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Empty catch block,to_json,207,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Empty catch block found in to_json.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Empty catch block,prepare_dir,379,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Empty catch block found in prepare_dir.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Empty catch block,prepare_dir,397,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Empty catch block found in prepare_dir.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'transformer_decoder_config_name' exceeds the maximum length of 30 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'transformer_decoder_tokenizer_name' exceeds the maximum length of 30 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'transformer_decoder_model_loading' exceeds the maximum length of 30 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'transformer_decoder_config_loading' exceeds the maximum length of 30 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'transformer_decoder_tokenizer_loading' exceeds the maximum length of 30 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'available_problem_sampling_strategy' exceeds the maximum length of 30 characters.
JayYip_bert-multitask-learning.m3tl,base_params,BaseParams,Long identifier,,26,/Volumes/BrokeExt/NICHE/JayYip_bert-multitask-learning/m3tl/base_params.py,Identifier'available_loss_combination_strategy' exceeds the maximum length of 30 characters.
