Package,Module,Class,Smell,Function/Method,Line no,File,Details
lucidrains_reformer-pytorch,setup,,Long statement,,3,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/setup.py,A line with 705 chars in setup exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.examples.enwik8_deepspeed,train,,Long statement,,53,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/examples/enwik8_deepspeed/train.py,A line with 214 chars in train exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.examples.enwik8_deepspeed,train,,Long statement,,99,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/examples/enwik8_deepspeed/train.py,A line with 158 chars in train exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.examples.enwik8_simple,train,,Long statement,,39,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/examples/enwik8_simple/train.py,A line with 214 chars in train exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Complex method,train,176 - 286,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,"Method 'train' has a cyclomatic complexity of 12, exceeding the max of 6."
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Complex method,evaluate,288 - 337,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,"Method 'evaluate' has a cyclomatic complexity of 7, exceeding the max of 6."
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long method,train,176 - 286,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Method 'train' is too long (87 lines).
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long method,evaluate,288 - 337,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Method 'evaluate' is too long (43 lines).
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long parameter list,__init__,55 - 100,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,"__init__ has 9 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long parameter list,train,176 - 286,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,"train has 7 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,__init__,65,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 673 chars in __init__ exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,build_dataloaders,103,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 367 chars in build_dataloaders exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,build_dataloaders,117,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 198 chars in build_dataloaders exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,mask_tokens,126,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 127 chars in mask_tokens exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,_tokenize_input_ids,156,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 271 chars in _tokenize_input_ids exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,_tokenize_input_ids,162,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 206 chars in _tokenize_input_ids exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,train,184,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 662 chars in train exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Long statement,evaluate,289,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 182 chars in evaluate exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,,Long statement,,344,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 122 chars in self-supervised exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,,Long statement,,354,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,A line with 180 chars in self-supervised exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Magic number,__init__,60,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Magic number 8 used in __init__.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Magic number,build_dataloaders,102,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Magic number 0.1 used in build_dataloaders.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Magic number,mask_tokens,121,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Magic number 0.15 used in mask_tokens.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Magic number,mask_tokens,134,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Magic number 100 used in mask_tokens.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Magic number,train,240,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Magic number 100 used in train.
lucidrains_reformer-pytorch.pretraining,self-supervised,ReformerTrainer,Magic number,evaluate,314,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/pretraining/self-supervised.py,Magic number 100 used in evaluate.
lucidrains_reformer-pytorch.reformer_pytorch,autopadder,Autopadder,Long statement,__init__,19,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/autopadder.py,A line with 128 chars in __init__ exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.reformer_pytorch,autopadder,,Magic number,pad_to_multiple,13,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/autopadder.py,Magic number 2 used in pad_to_multiple.
lucidrains_reformer-pytorch.reformer_pytorch,autopadder,Autopadder,Magic number,__init__,23,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/autopadder.py,Magic number 2 used in __init__.
lucidrains_reformer-pytorch.reformer_pytorch,autopadder,Autopadder,Magic number,forward,30,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/autopadder.py,Magic number 2 used in forward.
lucidrains_reformer-pytorch.reformer_pytorch,generative_tools,TrainingWrapper,Complex method,generate,38 - 75,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/generative_tools.py,"Method 'generate' has a cyclomatic complexity of 7, exceeding the max of 6."
lucidrains_reformer-pytorch.reformer_pytorch,generative_tools,TrainingWrapper,Long parameter list,generate,38 - 75,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/generative_tools.py,"generate has 6 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,generative_tools,,Magic number,top_p,9,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/generative_tools.py,Magic number 0.9 used in top_p.
lucidrains_reformer-pytorch.reformer_pytorch,generative_tools,,Magic number,top_k,20,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/generative_tools.py,Magic number 0.9 used in top_k.
lucidrains_reformer-pytorch.reformer_pytorch,generative_tools,TrainingWrapper,Magic number,__init__,28,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/generative_tools.py,Magic number 100 used in __init__.
lucidrains_reformer-pytorch.reformer_pytorch,generative_tools,TrainingWrapper,Magic number,generate,38,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/generative_tools.py,Magic number 0.9 used in generate.
lucidrains_reformer-pytorch.reformer_pytorch,reformer_enc_dec,,Long identifier,group_by_key_prefix_and_remove_prefix,23,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_enc_dec.py,Identifier'group_by_key_prefix_and_remove_prefix' exceeds the maximum length of 30 characters.
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,Reformer,Long Lambda Function,__init__,679,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,A Lambda with 493 chars in __init__ exceeds the maximum length of 80 characters.
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Complex method,forward,265 - 439,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"Method 'forward' has a cyclomatic complexity of 10, exceeding the max of 6."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Long method,forward,265 - 439,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,Method 'forward' is too long (120 lines).
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHSelfAttention,Long method,forward,525 - 592,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,Method 'forward' is too long (51 lines).
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Long parameter list,__init__,181 - 217,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"__init__ has 10 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Long parameter list,forward,265 - 439,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"forward has 6 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHSelfAttention,Long parameter list,__init__,489 - 523,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"__init__ has 18 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHSelfAttention,Long parameter list,forward,525 - 592,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"forward has 6 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,Reformer,Long parameter list,__init__,669 - 709,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"__init__ has 30 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,ReformerLM,Long parameter list,__init__,717 - 748,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,"__init__ has 37 parameters, exceeding the max of 5."
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Long statement,__init__,199,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,A line with 149 chars in __init__ exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Long statement,hash_vectors,231,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,A line with 161 chars in hash_vectors exceeds the maximum length of 120 characters.
lucidrains_reformer-pytorch.reformer_pytorch,reformer_pytorch,LSHAttention,Long statement,forward,272,/Volumes/BrokeExt/NICHE/lucidrains_reformer-pytorch/reformer_pytorch/reformer_pytorch.py,A line with 154 chars in forward exceeds the maximum length of 120 characters.
