Package,Module,Smell,Class/Module,Line no,File,Details
cpnota_autonomous-learning-library.all.agents,_agent,Broken hierarchy,Agent,6,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/_agent.py,Class 'Agent' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.agents,_agent,Wide hierarchy,Agent,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/_agent.py,Class 'Agent' has a wide hierarchy with 13 direct subclasses.
cpnota_autonomous-learning-library.all.agents,_multiagent,Broken hierarchy,Multiagent,6,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/_multiagent.py,Class 'Multiagent' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.agents,_parallel_agent,Broken hierarchy,ParallelAgent,6,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/_parallel_agent.py,Class 'ParallelAgent' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.agents,_parallel_agent,Wide hierarchy,ParallelAgent,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/_parallel_agent.py,Class 'ParallelAgent' has a wide hierarchy with 7 direct subclasses.
cpnota_autonomous-learning-library.all.agents,a2c,Rebellious hierarchy,A2CTestAgent,109,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/a2c.py,Class 'A2CTestAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act.
cpnota_autonomous-learning-library.all.agents,ddpg,Rebellious hierarchy,DDPGTestAgent,113,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/ddpg.py,Class 'DDPGTestAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act.
cpnota_autonomous-learning-library.all.agents,dqn,Rebellious hierarchy,DQNTestAgent,92,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/dqn.py,Class 'DQNTestAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act.
cpnota_autonomous-learning-library.all.agents,independent,Rebellious hierarchy,IndependentMultiagent,4,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/independent.py,Class 'IndependentMultiagent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act.
cpnota_autonomous-learning-library.all.agents,rainbow,Broken hierarchy,Rainbow,4,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/rainbow.py,Class 'Rainbow' and its superclass 'C51' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.agents,vqn,Rebellious hierarchy,VQNTestAgent,56,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/agents/vqn.py,Class 'VQNTestAgent' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act.
cpnota_autonomous-learning-library.all.approximation,approximation,Wide hierarchy,Approximation,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/approximation/approximation.py,Class 'Approximation' has a wide hierarchy with 10 direct subclasses.
cpnota_autonomous-learning-library.all.approximation,identity,Multifaceted abstraction,Identity,6,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/approximation/identity.py,"Class 'Identity' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.approximation.checkpointer,__init__,Rebellious hierarchy,DummyCheckpointer,17,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/approximation/checkpointer/__init__.py,"Class 'DummyCheckpointer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: init, __call__."
cpnota_autonomous-learning-library.all.approximation.target,trivial,Rebellious hierarchy,TrivialTarget,6,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/approximation/target/trivial.py,Class 'TrivialTarget' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: update.
cpnota_autonomous-learning-library.all.bodies,_body,Rebellious hierarchy,Body,4,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/bodies/_body.py,Class 'Body' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: act.
cpnota_autonomous-learning-library.all.core,state,Multifaceted abstraction,MultiagentState,461,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/core/state.py,"Class 'MultiagentState' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.core,state_test,Multifaceted abstraction,StateTest,11,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/core/state_test.py,"Class 'StateTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.core,state_test,Multifaceted abstraction,StateArrayTest,121,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/core/state_test.py,"Class 'StateArrayTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.environments,atari,Rebellious hierarchy,AtariEnvironment,17,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/atari.py,"Class 'AtariEnvironment' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: render, close, duplicate, name, state_space, action_space, state, device."
cpnota_autonomous-learning-library.all.environments,duplicate_env,Rebellious hierarchy,DuplicateEnvironment,8,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/duplicate_env.py,"Class 'DuplicateEnvironment' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: name, close, state_space, action_space, state_array, device, num_envs."
cpnota_autonomous-learning-library.all.environments,duplicate_env_test,Multifaceted abstraction,DuplicateEnvironmentTest,13,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/duplicate_env_test.py,"Class 'DuplicateEnvironmentTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.environments,gym,Rebellious hierarchy,GymEnvironment,12,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/gym.py,"Class 'GymEnvironment' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: name, render, close, duplicate, state_space, action_space, state, device."
cpnota_autonomous-learning-library.all.environments,gym_test,Multifaceted abstraction,GymEnvironmentTest,10,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/gym_test.py,"Class 'GymEnvironmentTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.environments,mujoco_test,Multifaceted abstraction,MujocoEnvironmentTest,6,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/mujoco_test.py,"Class 'MujocoEnvironmentTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.environments,multiagent_atari_test,Multifaceted abstraction,MultiagentAtariEnvTest,8,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/multiagent_atari_test.py,"Class 'MultiagentAtariEnvTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.environments,multiagent_pettingzoo,Rebellious hierarchy,MultiagentPettingZooEnv,10,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/multiagent_pettingzoo.py,"Class 'MultiagentPettingZooEnv' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: render, agent_iter, is_done, name, device, state_space, action_space."
cpnota_autonomous-learning-library.all.environments,pybullet_test,Multifaceted abstraction,PybulletEnvironmentTest,8,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/pybullet_test.py,"Class 'PybulletEnvironmentTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.environments,vector_env,Rebellious hierarchy,GymVectorEnvironment,9,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/vector_env.py,"Class 'GymVectorEnvironment' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: name, close, state_space, action_space, state_array, device, num_envs."
cpnota_autonomous-learning-library.all.environments,vector_env_test,Multifaceted abstraction,GymVectorEnvironmentTest,16,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/environments/vector_env_test.py,"Class 'GymVectorEnvironmentTest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.experiments,parallel_env_experiment,Rebellious hierarchy,ParallelEnvExperiment,12,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/experiments/parallel_env_experiment.py,"Class 'ParallelEnvExperiment' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: frame, episode."
cpnota_autonomous-learning-library.all.experiments,single_env_experiment,Rebellious hierarchy,SingleEnvExperiment,10,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/experiments/single_env_experiment.py,"Class 'SingleEnvExperiment' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: frame, episode."
cpnota_autonomous-learning-library.all.experiments,single_env_experiment_test,Rebellious hierarchy,MockLogger,12,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/experiments/single_env_experiment_test.py,"Class 'MockLogger' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: add_loss, add_info, add_schedule, close."
cpnota_autonomous-learning-library.all.logging,dummy,Multifaceted abstraction,DummyLogger,4,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/logging/dummy.py,"Class 'DummyLogger' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.logging,dummy,Rebellious hierarchy,DummyLogger,4,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/logging/dummy.py,"Class 'DummyLogger' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: add_eval, add_info, add_loss, add_schedule, add_summary, add_hparams, close."
cpnota_autonomous-learning-library.all.logging,experiment,Rebellious hierarchy,ExperimentLogger,12,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/logging/experiment.py,Class 'ExperimentLogger' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: close.
cpnota_autonomous-learning-library.all.memory,generalized_advantage,Broken hierarchy,GeneralizedAdvantageBuffer,7,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/memory/generalized_advantage.py,Class 'GeneralizedAdvantageBuffer' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.memory,replay_buffer,Broken hierarchy,PrioritizedReplayBuffer,77,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/memory/replay_buffer.py,Class 'PrioritizedReplayBuffer' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.memory,replay_buffer,Rebellious hierarchy,ExperienceReplayBuffer,28,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/memory/replay_buffer.py,Class 'ExperienceReplayBuffer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: update_priorities.
cpnota_autonomous-learning-library.all.memory,replay_buffer,Rebellious hierarchy,NStepReplayBuffer,157,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/memory/replay_buffer.py,"Class 'NStepReplayBuffer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: sample, update_priorities."
cpnota_autonomous-learning-library.all.nn,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/nn/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.nn,__init__,Wide hierarchy,RLNetwork,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/nn/__init__.py,Class 'RLNetwork' has a wide hierarchy with 7 direct subclasses.
cpnota_autonomous-learning-library.all.nn,nn_test,Multifaceted abstraction,TestNN,12,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/nn/nn_test.py,"Class 'TestNN' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.optim,scheduler,Wide hierarchy,Schedulable,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/optim/scheduler.py,Class 'Schedulable' has a wide hierarchy with 8 direct subclasses.
cpnota_autonomous-learning-library.all.optim,scheduler_test,Broken hierarchy,Obj,8,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/optim/scheduler_test.py,Class 'Obj' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.policies,greedy,Broken hierarchy,GreedyPolicy,7,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/policies/greedy.py,Class 'GreedyPolicy' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.policies,greedy,Broken hierarchy,ParallelGreedyPolicy,48,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/policies/greedy.py,Class 'ParallelGreedyPolicy' and its superclass 'Schedulable' may not share a proper 'IS-A' relationship.
cpnota_autonomous-learning-library.all.presets,independent_multiagent,Multifaceted abstraction,IndependentMultiagentPreset,7,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/independent_multiagent.py,"Class 'IndependentMultiagentPreset' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.presets,independent_multiagent,Rebellious hierarchy,IndependentMultiagentPreset,7,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/independent_multiagent.py,"Class 'IndependentMultiagentPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: agent, test_agent."
cpnota_autonomous-learning-library.all.presets,preset,Wide hierarchy,Preset,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/preset.py,Class 'Preset' has a wide hierarchy with 13 direct subclasses.
cpnota_autonomous-learning-library.all.presets,preset,Wide hierarchy,ParallelPreset,0,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/preset.py,Class 'ParallelPreset' has a wide hierarchy with 11 direct subclasses.
cpnota_autonomous-learning-library.all.presets.atari,a2c,Rebellious hierarchy,A2CAtariPreset,39,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/atari/a2c.py,Class 'A2CAtariPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.atari,ppo,Rebellious hierarchy,PPOAtariPreset,46,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/atari/ppo.py,Class 'PPOAtariPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.atari,vac,Rebellious hierarchy,VACAtariPreset,38,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/atari/vac.py,Class 'VACAtariPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.atari.models,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/atari/models/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.presets.classic_control,a2c,Rebellious hierarchy,A2CClassicControlPreset,36,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/classic_control/a2c.py,Class 'A2CClassicControlPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.classic_control,ppo,Rebellious hierarchy,PPOClassicControlPreset,44,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/classic_control/ppo.py,Class 'PPOClassicControlPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.classic_control,vac,Rebellious hierarchy,VACClassicControlPreset,36,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/classic_control/vac.py,Class 'VACClassicControlPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.classic_control.models,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/classic_control/models/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.all.presets.continuous,ppo,Rebellious hierarchy,PPOContinuousPreset,41,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/continuous/ppo.py,Class 'PPOContinuousPreset' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: parallel_test_agent.
cpnota_autonomous-learning-library.all.presets.continuous.models,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/all/presets/continuous/models/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.integration,atari_test,Multifaceted abstraction,TestAtariPresets,21,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/integration/atari_test.py,"Class 'TestAtariPresets' has a high LCOM value of 1, indicating it may have multiple responsibilities."
cpnota_autonomous-learning-library.integration,continuous_test,Multifaceted abstraction,TestContinuousPresets,9,/Volumes/BrokeExt/NICHE/cpnota_autonomous-learning-library/integration/continuous_test.py,"Class 'TestContinuousPresets' has a high LCOM value of 1, indicating it may have multiple responsibilities."
