Package,Module,Smell,Class/Module,Line no,File,Details
learnables_cherry.cherry,_torch,Multifaceted abstraction,_torch,1,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/_torch.py,"Class '_torch' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_cherry.cherry,_utils,Multifaceted abstraction,_utils,1,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/_utils.py,"Class '_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_cherry.cherry,distributions,Multifaceted abstraction,Categorical,17,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/distributions.py,"Class 'Categorical' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_cherry.cherry,distributions,Multifaceted abstraction,Normal,58,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/distributions.py,"Class 'Normal' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_cherry.cherry.algorithms,a2c,Broken hierarchy,A2C,11,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/a2c.py,Class 'A2C' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,arguments,Multifaceted abstraction,AlgorithmArguments,8,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/arguments.py,"Class 'AlgorithmArguments' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_cherry.cherry.algorithms,arguments,Wide hierarchy,AlgorithmArguments,0,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/arguments.py,Class 'AlgorithmArguments' has a wide hierarchy with 8 direct subclasses.
learnables_cherry.cherry.algorithms,ddpg,Broken hierarchy,DDPG,11,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/ddpg.py,Class 'DDPG' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,drq,Broken hierarchy,DrQ,12,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/drq.py,Class 'DrQ' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,drqv2,Broken hierarchy,DrQv2,12,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/drqv2.py,Class 'DrQv2' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,ppo,Broken hierarchy,PPO,13,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/ppo.py,Class 'PPO' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,sac,Broken hierarchy,SAC,13,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/sac.py,Class 'SAC' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,td3,Broken hierarchy,TD3,11,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/td3.py,Class 'TD3' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.algorithms,trpo,Broken hierarchy,TRPO,14,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/algorithms/trpo.py,Class 'TRPO' and its superclass 'AlgorithmArguments' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.nn,policy,Multifaceted abstraction,Policy,6,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/nn/policy.py,"Class 'Policy' has a high LCOM value of 1, indicating it may have multiple responsibilities."
learnables_cherry.cherry.wrappers,action_lambda_wrapper,Broken hierarchy,ActionLambda,8,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/wrappers/action_lambda_wrapper.py,Class 'ActionLambda' and its superclass 'Wrapper' may not share a proper 'IS-A' relationship.
learnables_cherry.cherry.wrappers,action_space_scaler_wrapper,Broken hierarchy,ActionSpaceScaler,9,/Volumes/BrokeExt/NICHE/learnables_cherry/cherry/wrappers/action_space_scaler_wrapper.py,Class 'ActionSpaceScaler' and its superclass 'Wrapper' may not share a proper 'IS-A' relationship.
