Package,Module,Smell,Class/Module,Line no,File,Details
heronsystems_adeptRL.adept,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.actor,ac_eval,Broken hierarchy,ACActorEval,7,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ac_eval.py,Class 'ACActorEval' and its superclass 'ACActorHelperMixin' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.actor,ac_eval,Multifaceted abstraction,ACActorEval,7,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ac_eval.py,"Class 'ACActorEval' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.actor,ac_eval,Rebellious hierarchy,ACActorEval,7,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ac_eval.py,"Class 'ACActorEval' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args, _exp_spec."
heronsystems_adeptRL.adept.actor,ac_rollout,Broken hierarchy,ACRolloutActorTrain,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ac_rollout.py,Class 'ACRolloutActorTrain' and its superclass 'ACActorHelperMixin' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.actor,ac_rollout,Multifaceted abstraction,ACRolloutActorTrain,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ac_rollout.py,"Class 'ACRolloutActorTrain' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.actor,ac_rollout,Rebellious hierarchy,ACRolloutActorTrain,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ac_rollout.py,Class 'ACRolloutActorTrain' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
heronsystems_adeptRL.adept.actor,impala,Broken hierarchy,ImpalaHostActor,24,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/impala.py,Class 'ImpalaHostActor' and its superclass 'ACActorHelperMixin' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.actor,impala,Broken hierarchy,ImpalaWorkerActor,105,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/impala.py,Class 'ImpalaWorkerActor' and its superclass 'ACActorHelperMixin' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.actor,impala,Multifaceted abstraction,ImpalaHostActor,24,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/impala.py,"Class 'ImpalaHostActor' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.actor,impala,Multifaceted abstraction,ImpalaWorkerActor,105,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/impala.py,"Class 'ImpalaWorkerActor' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.actor,impala,Rebellious hierarchy,ImpalaHostActor,24,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/impala.py,Class 'ImpalaHostActor' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
heronsystems_adeptRL.adept.actor,impala,Rebellious hierarchy,ImpalaWorkerActor,105,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/impala.py,Class 'ImpalaWorkerActor' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
heronsystems_adeptRL.adept.actor,ppo,Broken hierarchy,PPOActorTrain,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ppo.py,Class 'PPOActorTrain' and its superclass 'ACActorHelperMixin' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.actor,ppo,Multifaceted abstraction,PPOActorTrain,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ppo.py,"Class 'PPOActorTrain' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.actor,ppo,Rebellious hierarchy,PPOActorTrain,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/ppo.py,Class 'PPOActorTrain' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
heronsystems_adeptRL.adept.actor.base,actor_module,Rebellious hierarchy,ActorModule,26,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/actor/base/actor_module.py,Class 'ActorModule' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
heronsystems_adeptRL.adept.agent,actor_critic,Rebellious hierarchy,ActorCritic,21,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/agent/actor_critic.py,"Class 'ActorCritic' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args, exp_cache, _exp_spec, output_space, compute_action_exp, learn_step."
heronsystems_adeptRL.adept.agent,ppo,Rebellious hierarchy,PPO,27,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/agent/ppo.py,"Class 'PPO' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args, exp_cache, _exp_spec, output_space, compute_action_exp."
heronsystems_adeptRL.adept.agent.base,agent_module,Rebellious hierarchy,AgentModule,26,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/agent/base/agent_module.py,Class 'AgentModule' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
heronsystems_adeptRL.adept.container,distrib,Broken hierarchy,DistribHost,47,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/container/distrib.py,Class 'DistribHost' and its superclass 'Container' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.container,distrib,Broken hierarchy,DistribWorker,249,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/container/distrib.py,Class 'DistribWorker' and its superclass 'Container' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.container,local,Broken hierarchy,Local,25,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/container/local.py,Class 'Local' and its superclass 'Container' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.container.actorlearner,learner_container,Broken hierarchy,ActorLearnerHost,35,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/container/actorlearner/learner_container.py,Class 'ActorLearnerHost' and its superclass 'Container' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.container.actorlearner,rollout_worker,Broken hierarchy,ActorLearnerWorker,30,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/container/actorlearner/rollout_worker.py,Class 'ActorLearnerWorker' and its superclass 'Container' may not share a proper 'IS-A' relationship.
heronsystems_adeptRL.adept.container.base,container,Multifaceted abstraction,Container,4,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/container/base/container.py,"Class 'Container' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.env,_spaces,Multifaceted abstraction,Space,18,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/env/_spaces.py,"Class 'Space' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.exp,replay,Multifaceted abstraction,ExperienceReplay,18,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/exp/replay.py,"Class 'ExperienceReplay' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.exp,replay,Multifaceted abstraction,PrioritizedExperienceReplay,32,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/exp/replay.py,"Class 'PrioritizedExperienceReplay' has a high LCOM value of 1, indicating it may have multiple responsibilities."
heronsystems_adeptRL.adept.exp,replay,Rebellious hierarchy,ExperienceReplay,18,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/exp/replay.py,"Class 'ExperienceReplay' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: write_actor, write_env, read, is_ready."
heronsystems_adeptRL.adept.exp,replay,Rebellious hierarchy,PrioritizedExperienceReplay,32,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/exp/replay.py,"Class 'PrioritizedExperienceReplay' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: write_actor, write_env, read, is_ready."
heronsystems_adeptRL.adept.exp,rollout,Rebellious hierarchy,Rollout,23,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/exp/rollout.py,Class 'Rollout' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: is_ready.
heronsystems_adeptRL.adept.learner,ac_rollout,Rebellious hierarchy,ACRolloutLearner,7,/Volumes/BrokeExt/NICHE/heronsystems_adeptRL/adept/learner/ac_rollout.py,Class 'ACRolloutLearner' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: from_args.
